year,population
2001,147026
2002,144272
2003,140020
2004,143801
2005,146233
2006,144539
2007,141273
2008,135389
2009,142500
2010,139452
2011,139722
2012,135300
2013,137289
2014,136511
2015,132884
2016,125683
2017,127255
2018,124275
